      Signal_1            Signal_2      Expected Continuity         min                 max         
       SQF_6                SQ_2            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_3          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_2          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_1            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_1            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_0          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_0          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              THERM_V-          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              THERM_V+          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              THERM_I-          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_5         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_5          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_5          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_4            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_4            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_3          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_3         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_2          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_3            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_0         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             TES_BIAS_1         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_2            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             SQF_RTN_1          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              SQ_RTN_1          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               SQF_0            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6                SQ_0            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              THERM_I+          Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDR_0            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QFB_0            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDR_1            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QFB_1            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QGSET_0           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDM_0            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QGSET_1           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               QDM_1            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QBIAS_1           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QRST_T-           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QBIAS_0           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6              QRST_T+           Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               LED_2            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               LED_0            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6               LED_1            Disconnected        4.000000E+07        1.000000E+38    
       SQF_6            LED_COM_TOP         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             AGND_TOP_1         Disconnected        4.000000E+07        1.000000E+38    
       SQF_6             AGND_TOP_2         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQF_RTN_7          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            SQF_8            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9           SQ_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            SQF_9            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQ_RTN_10          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9         TES_BIAS_10          Connected           200.000000          800.000000     
     TES_BIAS_9            SQ_11            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQF_RTN_10         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            SQF_11           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9              R+             Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9              R-             Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9           SQ_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          TES_BIAS_6          Connected           200.000000          800.000000     
     TES_BIAS_9             SQ_7            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQF_RTN_6          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          TES_BIAS_8          Connected           200.000000          800.000000     
     TES_BIAS_9            SQF_7            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQF_RTN_8          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9             SQ_8            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQF_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9           SQ_RTN_9          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9             SQ_9            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            SQ_10            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9         TES_BIAS_11          Connected           200.000000          800.000000     
     TES_BIAS_9          SQ_RTN_11          Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            SQF_10           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          SQF_RTN_11         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            QDR_3             Connected           100.000000      1000000400.000000  
     TES_BIAS_9            QFB_3            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            QDR_2             Connected           100.000000      1000000400.000000  
     TES_BIAS_9            QFB_2            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            QDM_2             Connected           100.000000      1000000400.000000  
     TES_BIAS_9           QGSET_2            Connected           100.000000      1000000400.000000  
     TES_BIAS_9            QDM_3             Connected           100.000000      1000000400.000000  
     TES_BIAS_9           QGSET_3            Connected           100.000000      1000000400.000000  
     TES_BIAS_9           QBIAS_2           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9           QRST_B-            Connected           100.000000      1000000400.000000  
     TES_BIAS_9           QBIAS_3           Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9           QRST_B+            Connected           100.000000      1000000400.000000  
     TES_BIAS_9            LED_3            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9         LED_COM_BOT         Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            LED_4            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9            LED_5            Disconnected        4.000000E+07        1.000000E+38    
     TES_BIAS_9          AGND_BOT_1          Connected           100.000000          400.000000     
     TES_BIAS_9          AGND_BOT_2          Connected           100.000000          400.000000     
     TES_BIAS_9          TES_BIAS_4          Connected           200.000000          800.000000     
     TES_BIAS_9            SQF_5            Disconnected        4.000000E+07        1.000000E+38    
